Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point
BL285284,16548703,41B EDITH MR NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-11-13T13:33:23,2025-11-13T13:33:23,Licensed,-114.16788716374201,51.18519748824569,POINT (-114.16788716374201 51.18519748824569)
BL273212,16391617,3A 37 ST SW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-09-20T12:45:45,2024-09-19T12:45:45,Closed,-114.14142789852374,51.05268355701946,POINT (-114.14142789852374 51.05268355701946)
BL276132,16435562,#402 116 3 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-12-21T14:01:46,2024-12-20T14:01:46,Licensed,-114.06160205617397,51.05055666887946,POINT (-114.06160205617397 51.05055666887946)
BL270650,16356735,50 COVEWOOD CI NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-07-04T08:28:58,2024-07-03T08:28:58,Expired,-114.04421434304975,51.17079606204647,POINT (-114.04421434304975 51.17079606204647)
BL267809,16319444,149B CARRINGSBY AV NW,SHORT TERM RENTAL - TIER ONE,Coach/lane house,2024-04-10T19:50:50,2025-04-10T19:50:50,Licensed,-114.08598684273332,51.179484907275935,POINT (-114.08598684273332 51.179484907275935)
BL273643,16397820,220 RED SKY TC NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-02T18:28:51,2024-10-01T18:28:51,Expired,-113.9508176273021,51.17440468122842,POINT (-113.9508176273021 51.17440468122842)
BL263758,16273641,515B BELMONT HE SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-01-12T21:13:30,2025-01-11T21:13:30,Licensed,-114.06694015988577,50.866491163556034,POINT (-114.06694015988577 50.866491163556034)
BL261729,16246282,308 NEW BRIGHTON PL SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-17T11:24:38,2024-11-16T11:24:38,Cancelled,-113.95622635558199,50.92111331517811,POINT (-113.95622635558199 50.92111331517811)
BL280461,16489478,#10 517 15 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-08-09T11:38:43,2025-08-09T11:38:43,Licensed,-114.07266739718352,51.03856222322845,POINT (-114.07266739718352 51.03856222322845)
BL246061,16055493,2801 11 AV SE,SHORT TERM RENTAL - TIER TWO,Duplex/triplex,2024-06-29T12:57:19,2025-06-29T12:57:19,Licensed,-113.9952644554396,51.042672757158165,POINT (-113.9952644554396 51.042672757158165)
BL273986,16402323,#201 211 13 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-12T17:39:47,2024-10-11T17:39:47,Closed,-114.06009324444899,51.0401480715595,POINT (-114.06009324444899 51.0401480715595)
BL270918,16359978,65 KLAMATH PL SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-09T17:59:59,2024-07-08T17:59:59,Cancelled,-114.07945075882888,50.98817552982419,POINT (-114.07945075882888 50.98817552982419)
BL272484,16382632,849 85 ST SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-08-29T13:14:01,2024-08-28T13:14:01,Expired,-114.21135780407249,51.06177136947466,POINT (-114.21135780407249 51.06177136947466)
BL272129,16378275,#206 160 PANATELLA LD NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-08-18T08:48:12,2024-08-17T08:48:12,Expired,-114.09139340952186,51.164078770966825,POINT (-114.09139340952186 51.164078770966825)
BL271903,16375388,250 TUSCANY VALLEY DR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-11T07:14:55,2024-08-10T07:14:55,Cancelled,-114.24657183115848,51.126285257554976,POINT (-114.24657183115848 51.126285257554976)
BL231928,15877871,#304 931 2 AV NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-02-06T17:34:42,2025-02-05T17:34:42,Licensed,-114.08251571604694,51.05509495751828,POINT (-114.08251571604694 51.05509495751828)
BL246875,16067050,27R HOUNSLOW DR NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-07-23T09:52:52,2024-07-22T09:52:52,Closed,-114.08764383603558,51.090544321961964,POINT (-114.08764383603558 51.090544321961964)
BL269019,16334393,131 ROYAL BIRCH MR NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2023-08-23T10:25:38,2024-08-22T10:25:38,Expired,-114.21177211778827,51.14251595409546,POINT (-114.21177211778827 51.14251595409546)
BL265120,16289431,1304 4 ST NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-02-09T13:08:56,2025-02-08T13:08:56,Licensed,-114.07125530951596,51.06359134020632,POINT (-114.07125530951596 51.06359134020632)
BL259455,16201329,246 SIERRA NEVADA PL SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-31T12:01:04,2024-08-30T12:01:04,Expired - Pending Recommendation,-114.18375763473303,51.011914825520556,POINT (-114.18375763473303 51.011914825520556)
BL270778,16358251,#1 66A MONTROSE CR NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-07-06T11:22:14,2024-07-05T11:22:14,Expired - Pending Recommendation,-114.04374881472849,51.0698964559218,POINT (-114.04374881472849 51.0698964559218)
BL284381,16537540,86B SILVERTON GLEN GA SW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-10-10T16:05:56,2025-10-10T16:05:56,Licensed,-114.05847615157073,50.87349086916158,POINT (-114.05847615157073 50.87349086916158)
BL272927,16387656,126R ASPEN SUMMIT DR SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-09-12T08:42:04,2024-09-11T08:42:04,Closed,-114.2042895699817,51.04224452502485,POINT (-114.2042895699817 51.04224452502485)
BL274314,16407132,#1601 1121 6 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-23T12:37:32,2024-10-22T12:37:32,Expired,-114.0881844471434,51.04796363865848,POINT (-114.0881844471434 51.04796363865848)
BL276895,16445082,95 EDGERIDGE PA NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2024-02-14T11:28:04,2025-02-13T11:28:04,Licensed,-114.13843612844379,51.136964276427,POINT (-114.13843612844379 51.136964276427)
BL259111,16198160,76B HOWSE TC NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-08-17T18:17:04,2025-08-17T18:17:04,Licensed,-114.06054661224375,51.18817549935641,POINT (-114.06054661224375 51.18817549935641)
BL270429,16352882,1053 PANORAMA HILLS LD NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-06-26T22:07:06,2024-06-25T22:07:06,Expired - Pending Recommendation,-114.08831197828437,51.15317700015358,POINT (-114.08831197828437 51.15317700015358)
BL274743,16413031,319 HAMPSHIRE CO NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-11-03T11:23:02,2024-11-02T11:23:02,Expired,-114.1594478778148,51.13972766524131,POINT (-114.1594478778148 51.13972766524131)
BL266010,16299232,166 CITYSIDE WY NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-02-26T17:41:18,2025-02-25T17:41:18,Licensed,-113.96096917884456,51.14476534883075,POINT (-113.96096917884456 51.14476534883075)
BL274866,16414468,34B CRANBERRY AV SE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-11-07T12:12:04,2024-11-06T12:12:04,Rejected,-113.97434619389692,50.881767106724176,POINT (-113.97434619389692 50.881767106724176)
BL272168,16378770,756 PENBROOKE RD SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-20T15:31:10,2024-08-19T15:31:10,Expired,-113.93899892322719,51.04769816988009,POINT (-113.93899892322719 51.04769816988009)
BL272473,16382517,117 8 ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-29T10:38:05,2024-08-28T10:38:05,Expired,-114.0804887080606,51.05520662079146,POINT (-114.0804887080606 51.05520662079146)
BL278037,16459984,#1208 1010 6 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-04-03T15:56:00,2025-04-03T15:56:00,Licensed,-114.0759776047392,51.04331329968203,POINT (-114.0759776047392 51.04331329968203)
BL281223,16498545,19R SIGNATURE HT SW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-09-05T10:36:23,2025-09-05T10:36:23,Licensed,-114.17685279696619,51.03494206359665,POINT (-114.17685279696619 51.03494206359665)
BL255585,16162463,1038B CARRINGTON BV NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-05-09T12:38:41,2025-05-09T12:38:41,Licensed,-114.08543951465104,51.17900595968395,POINT (-114.08543951465104 51.17900595968395)
BL255350,16160210,#1423 76 CORNERSTONE PS NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-05-01T16:15:29,2025-05-01T16:15:29,Licensed,-113.94625547819714,51.16454115694152,POINT (-113.94625547819714 51.16454115694152)
BL276298,16437618,20564 MAIN ST SE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2024-01-05T10:25:28,2025-01-04T10:25:28,Licensed,-113.9471431122366,50.86893830569805,POINT (-113.9471431122366 50.86893830569805)
BL270700,16357444,1216 25 ST SE,SHORT TERM RENTAL - TIER TWO,Single/detached house,2023-07-26T11:16:47,2024-07-25T11:16:47,Closed,-113.99997466023241,51.042227753253684,POINT (-113.99997466023241 51.042227753253684)
BL276478,16439820,64 ROYAL OAK CA NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2024-03-06T10:26:55,2025-03-06T10:26:55,Licensed,-114.22173487718727,51.15136632394313,POINT (-114.22173487718727 51.15136632394313)
BL280488,16489916,17B CARRINGWOOD ST NW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2024-08-21T10:36:02,2025-08-21T10:36:02,Licensed,-114.09312222665471,51.18812672622165,POINT (-114.09312222665471 51.18812672622165)
BL281891,16506370,1016 17A ST NE,SHORT TERM RENTAL - TIER TWO,Single/detached house,2024-10-04T07:55:00,2025-10-04T07:55:00,Licensed,-114.01724852422124,51.061194821594725,POINT (-114.01724852422124 51.061194821594725)
BL270666,16357105,58 MARTHA'S MEADOW CL NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-04T11:48:56,2024-07-03T11:48:56,Cancelled,-113.96281332043,51.1244631034005,POINT (-113.96281332043 51.1244631034005)
BL280921,16494916,28 ARBOUR RIDGE WY NW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2024-10-31T14:33:44,2025-10-31T14:33:44,Licensed,-114.19015576204701,51.138448147983745,POINT (-114.19015576204701 51.138448147983745)
BL276737,16443244,206B EVANSCREST PL NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-01-19T11:40:53,2025-01-18T11:40:53,Licensed,-114.11004235485113,51.18186370025443,POINT (-114.11004235485113 51.18186370025443)
BL270787,16358319,111B SHERWOOD ST NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-07-05T12:42:02,2025-07-05T12:42:02,Licensed,-114.15196588021897,51.162841013066185,POINT (-114.15196588021897 51.162841013066185)
BL270308,16351165,2024 21 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-06-22T23:35:11,2024-06-21T23:35:11,Expired,-114.10765347154002,51.03481973461263,POINT (-114.10765347154002 51.03481973461263)
BL271271,16364457,224 WHITWORTH WY NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-07-19T19:33:59,2024-07-18T19:33:59,Cancelled,-113.9804308950864,51.09491520136261,POINT (-113.9804308950864 51.09491520136261)
BL273024,16388548,148 MAGNOLIA CM SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-14T11:06:36,2024-09-13T11:06:36,Expired,-113.91133812481942,50.88747849086259,POINT (-113.91133812481942 50.88747849086259)
BL283070,16520173,357B PANORA WY NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-09-23T13:55:33,2025-09-23T13:55:33,Licensed,-114.09965267173924,51.16988984602622,POINT (-114.09965267173924 51.16988984602622)
BL275529,16422800,1404 29 ST SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-11-28T18:48:24,2024-11-27T18:48:24,Licensed,-114.12904286150379,51.04123485130967,POINT (-114.12904286150379 51.04123485130967)
BL275302,16419541,62R MT DOUGLAS CL SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-21T13:35:03,2024-11-20T13:35:03,Expired,-113.9831836649164,50.92174590879483,POINT (-113.9831836649164 50.92174590879483)
BL269710,16342602,#1209 624 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-06-05T15:43:01,2025-06-05T15:43:01,Licensed,-114.04957697002455,51.0453861830423,POINT (-114.04957697002455 51.0453861830423)
BL269291,16337271,144 ROWMONT BV NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2024-05-24T21:13:26,2025-05-24T21:13:26,Licensed,-114.27045063234262,51.10756234527701,POINT (-114.27045063234262 51.10756234527701)
BL263165,16266777,49B MAGNOLIA TC SE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-01-01T12:43:33,2024-12-31T12:43:33,Licensed,-113.91224176441374,50.891167383111416,POINT (-113.91224176441374 50.891167383111416)
BL271972,16376535,73B SAVANNA MR NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-14T16:55:33,2024-08-13T16:55:33,Expired,-113.95351450815988,51.137725756858615,POINT (-113.95351450815988 51.137725756858615)
BL270248,16350340,821 22 AV SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-06-21T12:08:11,2024-06-20T12:08:11,Expired,-114.04290934964365,51.03359368666646,POINT (-114.04290934964365 51.03359368666646)
BL271531,16369746,7 ROYAL BIRCH ST NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-07-29T15:42:19,2024-07-28T15:42:19,Expired,-114.21977707107723,51.14421952989582,POINT (-114.21977707107723 51.14421952989582)
BL271310,16365082,11 EVANSBROOKE MR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-21T10:52:13,2024-07-20T10:52:13,Closed,-114.12265675058912,51.165302522076615,POINT (-114.12265675058912 51.165302522076615)
BL264625,16283525,1732 12 AV SW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2024-02-21T13:12:46,2025-02-20T13:12:46,Licensed,-114.10111612455219,51.04270062630391,POINT (-114.10111612455219 51.04270062630391)
BL284977,16544728,#306 1010 6 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-10-09T12:47:06,2025-10-09T12:47:06,Licensed,-114.07597158909394,51.04338436746204,POINT (-114.07597158909394 51.04338436746204)
BL282670,16515413,58R MARTHA'S MEADOW CL NE,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-09-26T12:37:19,2025-09-26T12:37:19,Licensed,-113.96281734615808,51.12439527807153,POINT (-113.96281734615808 51.12439527807153)
BL273482,16395527,210B ARBOUR LAKE VW NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-27T13:17:34,2024-09-26T13:17:34,Closed,-114.21407566165072,51.131173299226305,POINT (-114.21407566165072 51.131173299226305)
BL270487,16353955,52 SKYVIEW SHORES MR NE,SHORT TERM RENTAL - TIER TWO,Single/detached house,2023-07-03T09:13:50,2024-07-02T09:13:50,Cancelled,-113.96162681562305,51.15717156746996,POINT (-113.96162681562305 51.15717156746996)
BL279606,16479040,56B EDITH CR NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-04-11T09:58:17,2025-04-11T09:58:17,Cancelled,-114.16466298423414,51.187794908881756,POINT (-114.16466298423414 51.187794908881756)
BL261163,16230518,#1307 624 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-26T14:30:50,2024-10-25T14:30:50,Expired - Pending Recommendation,-114.04946069677796,51.04532819458935,POINT (-114.04946069677796 51.04532819458935)
BL268907,16333122,154B CARRINGSBY WY NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-05-14T13:33:15,2025-05-14T13:33:15,Licensed,-114.09223264147565,51.1780516873309,POINT (-114.09223264147565 51.1780516873309)
BL280198,16486516,237 CORNERSTONE GV NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-06-19T12:15:38,2025-06-19T12:15:38,Licensed,-113.93672268006445,51.156169603103244,POINT (-113.93672268006445 51.156169603103244)
BL279136,16473589,1017R CARRINGTON BV NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-05-16T08:59:19,2025-05-16T08:59:19,Licensed,-114.08492323632318,51.17846655935237,POINT (-114.08492323632318 51.17846655935237)
BL276300,16437634,264 SETON VI SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-01-02T08:15:09,2025-01-01T08:15:09,Closed,-113.94856632618136,50.86350948783564,POINT (-113.94856632618136 50.86350948783564)
BL246485,16061889,215 SCENIC ACRES DR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-11T12:28:42,2024-07-10T12:28:42,Expired,-114.21340134380323,51.11128052094936,POINT (-114.21340134380323 51.11128052094936)
BL274658,16411639,51B CORNERBROOK GA NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-11-01T11:32:18,2024-10-31T11:32:18,Closed,-113.9341056274962,51.15518888017123,POINT (-113.9341056274962 51.15518888017123)
BL270515,16354359,#1803 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-06-28T16:56:25,2024-06-27T16:56:25,Rejected,-114.06542457541362,51.040396552947186,POINT (-114.06542457541362 51.040396552947186)
BL247817,16080525,914 5A ST NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-08-26T21:57:38,2024-08-25T21:57:38,Expired,-114.07544448416864,51.05977108805077,POINT (-114.07544448416864 51.05977108805077)
BL252744,16131856,72B WOLF CREEK ST SE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-02-10T20:18:07,2025-02-09T20:18:07,Licensed,-114.00608049189135,50.877235846128876,POINT (-114.00608049189135 50.877235846128876)
BL281694,16504169,15 COPPERSTONE CI SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-07-24T07:11:49,2025-07-24T07:11:49,Licensed,-113.93136056771397,50.915977904437796,POINT (-113.93136056771397 50.915977904437796)
BL274682,16411886,#2405 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-11-01T16:25:43,2024-10-31T16:25:43,Closed,-114.0587858134723,51.047041409634424,POINT (-114.0587858134723 51.047041409634424)
BL273321,16393233,#409 30 SAGE HILL WK NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-09-23T09:26:55,2024-09-22T09:26:55,Expired,-114.14778514876382,51.17152650796748,POINT (-114.14778514876382 51.17152650796748)
BL258681,16193427,41 COVECREEK ME NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-07T22:21:19,2024-08-06T22:21:19,Closed,-114.05021640747965,51.17359024866634,POINT (-114.05021640747965 51.17359024866634)
BL236466,15931975,#1 608 15 AV NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-08-14T15:29:11,2024-08-13T15:29:11,Expired - Pending Recommendation,-114.05025863406905,51.06613650438484,POINT (-114.05025863406905 51.06613650438484)
BL261414,16238560,#1507 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-11-04T10:11:15,2024-11-03T10:11:15,Expired,-114.06563938579622,51.04023088642062,POINT (-114.06563938579622 51.04023088642062)
BL273807,16399891,1117 15 ST SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-10-06T16:03:06,2024-10-05T16:03:06,Expired,-114.09710400014231,51.04265970910614,POINT (-114.09710400014231 51.04265970910614)
BL270598,16355877,75 COVEPARK ME NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-01T07:34:12,2024-06-30T07:34:12,Expired,-114.05632970800897,51.16595391566108,POINT (-114.05632970800897 51.16595391566108)
BL275273,16419152,323 PINEWIND CL NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-20T16:49:06,2024-11-19T16:49:06,Expired,-113.95078986093887,51.07986163607134,POINT (-113.95078986093887 51.07986163607134)
BL263630,16272197,261 COVEWOOD CI NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-01-10T16:38:08,2025-01-09T16:38:08,Licensed,-114.04700538585787,51.169501990463445,POINT (-114.04700538585787 51.169501990463445)
BL271457,16368250,119 COUNTRY HILLS VI NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-07-27T01:49:05,2024-07-26T01:49:05,Closed,-114.06766613401895,51.151492302895406,POINT (-114.06766613401895 51.151492302895406)
BL270904,16359721,444 SETON CI SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-07-08T08:01:51,2025-07-08T08:01:51,Licensed,-113.9542401490918,50.868318161415836,POINT (-113.9542401490918 50.868318161415836)
BL279851,16482341,76B CARRINGSBY MR NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-05-21T14:32:15,2025-05-21T14:32:15,Licensed,-114.09048201125638,51.17855611731997,POINT (-114.09048201125638 51.17855611731997)
BL232192,15880404,1320 24 ST SE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2024-02-12T08:30:35,2025-02-11T08:30:35,Licensed,-114.00134557792674,51.040870708605745,POINT (-114.00134557792674 51.040870708605745)
BL270747,16357915,20B ROWLEY CM NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-07-04T16:01:55,2025-07-04T16:01:55,Licensed,-114.26994875259666,51.105354368286875,POINT (-114.26994875259666 51.105354368286875)
BL276724,16443137,339B LIVINGSTON VW NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-01-17T15:00:56,2025-01-16T15:00:56,Licensed,-114.07768864113892,51.18999309396013,POINT (-114.07768864113892 51.18999309396013)
BL274998,16416034,2111B 2 AV NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-11-10T19:49:25,2024-11-09T19:49:25,Expired,-114.10878437608594,51.05417263781052,POINT (-114.10878437608594 51.05417263781052)
BL277210,16448847,2408R RICHMOND RD SW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-02-16T10:18:44,2025-02-15T10:18:44,Licensed,-114.11401386295432,51.03084919376066,POINT (-114.11401386295432 51.03084919376066)
BL275505,16422495,2624B 34 ST SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-11-28T13:17:27,2024-11-27T13:17:27,Licensed,-114.13656600688435,51.03074784807384,POINT (-114.13656600688435 51.03074784807384)
BL270622,16356479,2020 26 ST SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-03T09:35:52,2024-07-02T09:35:52,Expired,-113.9950982364,51.03528324535005,POINT (-113.9950982364 51.03528324535005)
BL275329,16419954,8007 HUNTINGTON RD NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-22T10:04:44,2024-11-21T10:04:44,Expired,-114.05956085612955,51.123182205345366,POINT (-114.05956085612955 51.123182205345366)
BL272651,16384554,56 NOLANCREST MR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-02T21:23:31,2024-09-01T21:23:31,Rejected,-114.16851587900108,51.177241811985596,POINT (-114.16851587900108 51.177241811985596)
BL274727,16412710,#1811 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-11-02T17:34:13,2024-11-01T17:34:13,Expired - Pending Recommendation,-114.06545305310273,51.04025619815447,POINT (-114.06545305310273 51.04025619815447)
BL274351,16407470,257 HENDON DR NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-10-24T11:33:48,2024-10-23T11:33:48,Expired,-114.07328041143047,51.09371007213739,POINT (-114.07328041143047 51.09371007213739)
BL273055,16388845,436B WHITEHILL PL NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-09-14T17:04:11,2024-09-13T17:04:11,Expired,-113.96817083708495,51.094532486952396,POINT (-113.96817083708495 51.094532486952396)
BL275860,16429847,347B LUCAS BV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-12-21T13:00:32,2024-12-20T13:00:32,Licensed,-114.07818963346897,51.188515082349014,POINT (-114.07818963346897 51.188515082349014)
BL285933,16555641,68R MALLARD GV SE,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-11-13T14:11:58,2025-11-13T14:11:58,Licensed,-113.92579390016112,50.87179988217521,POINT (-113.92579390016112 50.87179988217521)
BL260184,16208407,#705 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-09-26T09:14:59,2024-09-25T09:14:59,Expired,-114.06564340245089,51.040399279995064,POINT (-114.06564340245089 51.040399279995064)
BL278011,16459695,378R SHERWOOD BV NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-04-01T07:37:51,2025-04-01T07:37:51,Licensed,-114.15901166294914,51.165812674761774,POINT (-114.15901166294914 51.165812674761774)
BL265718,16296303,323 9A ST NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-02-21T12:36:02,2025-02-20T12:36:02,Licensed,-114.08472936860916,51.054974655628925,POINT (-114.08472936860916 51.054974655628925)
BL277625,16454522,#802 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-02-27T12:41:50,2025-02-26T12:41:50,Licensed,-114.06531290403741,51.040401847434545,POINT (-114.06531290403741 51.040401847434545)
BL255031,16156242,2428 40 ST SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-04-20T14:07:18,2025-04-20T14:07:18,Licensed,-113.97538912286498,51.03219185169693,POINT (-113.97538912286498 51.03219185169693)
BL279519,16478133,#3107 410 SETON PS SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-07-12T15:06:52,2025-07-12T15:06:52,Licensed,-113.94247116524997,50.877121347516294,POINT (-113.94247116524997 50.877121347516294)
BL257447,16181398,959 BERKLEY DR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-06-30T10:16:11,2024-06-29T10:16:11,Closed,-114.08000735792764,51.12623957051703,POINT (-114.08000735792764 51.12623957051703)
BL282132,16509176,97 CARRINGTON BV NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2024-09-05T11:02:10,2025-09-05T11:02:10,Licensed,-114.07522201293781,51.18190686477168,POINT (-114.07522201293781 51.18190686477168)
BL283835,16530388,#1 20A BEAVER DAM PL NE,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-10-09T12:27:59,2025-10-09T12:27:59,Licensed,-114.05847156027188,51.10650442850408,POINT (-114.05847156027188 51.10650442850408)
BL274704,16412470,69 SETON TC SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-02T12:07:20,2024-11-01T12:07:20,Expired,-113.95838593726245,50.86963469916268,POINT (-113.95838593726245 50.86963469916268)
BL279074,16473019,#1 1730 11 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-03-27T15:56:56,2025-03-27T15:56:56,Licensed,-114.0896486354113,51.03670571740018,POINT (-114.0896486354113 51.03670571740018)
BL281833,16505802,83 WENTWORTH CI SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-09-13T14:45:54,2025-09-13T14:45:54,Licensed,-114.21031980983562,51.05611448928603,POINT (-114.21031980983562 51.05611448928603)
BL273333,16393357,#405 211 13 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-09-24T12:01:42,2024-09-23T12:01:42,Closed,-114.06005153842722,51.04019389572693,POINT (-114.06005153842722 51.04019389572693)
BL274287,16406621,89 SAGE BLUFF RI NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-21T19:32:36,2024-10-20T19:32:36,Expired - Pending Recommendation,-114.13401031028313,51.17805301457823,POINT (-114.13401031028313 51.17805301457823)
